x,y,z
-20990.7,-18018.6,1901.01
-20990.7,-17925.7,1896.43
-20990.7,-17832.8,1883.73
-20897.8,-17739.9,1900.55
-20805,-17647.1,1906.86
-20805,-17554.2,1885.13
-20805,-17461.3,1871.37
-20805,-17368.4,1849.24
-20712.1,-17275.5,1832.35
-20712.1,-17182.7,1814.54
-20712.1,-17089.8,1799.65
-20619.2,-16996.9,1810.42
-20619.2,-16904,1795.2
-20619.2,-16811.1,1782.24
-20619.2,-16718.3,1780.04
-20619.2,-16625.4,1778.91
-20619.2,-16532.5,1792.74
-20619.2,-16439.6,1809.49
-20619.2,-16346.7,1819.79
-20619.2,-16253.9,1815
-20526.3,-16161,1815.14
-20433.4,-16068.1,1800.98
-20340.6,-16068.1,1788.75
-20247.7,-16161,1798.06
-20154.8,-16253.9,1792.01
-20154.8,-16161,1783.1
-20061.9,-16253.9,1770.94
-19969,-16346.7,1761.1
-19876.2,-16439.6,1753.46
-19783.3,-16532.5,1742.75
-19783.3,-16439.6,1730.72
-19783.3,-16346.7,1719.16
-19690.4,-16439.6,1709.12
-19690.4,-16346.7,1704.07
-19597.5,-16253.9,1698.42
-19597.5,-16346.7,1681.27
-19504.6,-16253.9,1673.96
-19411.8,-16161,1670.5
-19411.8,-16253.9,1649.5
-19504.6,-16346.7,1651.23
-19504.6,-16439.6,1646.11
-19504.6,-16532.5,1645.44
-19411.8,-16439.6,1625.97
-19411.8,-16532.5,1620.25
-19411.8,-16625.4,1614.6
-19318.9,-16532.5,1608.42
-19226,-16532.5,1595.73
-19318.9,-16625.4,1591.87
-19318.9,-16718.3,1578.91
-19226,-16625.4,1570.93
-19133.1,-16532.5,1567.88
-19040.2,-16532.5,1564.69
-18947.4,-16532.5,1564.02
-18854.5,-16532.5,1562.96
-18761.6,-16532.5,1562.03
-18668.7,-16532.5,1560.9
-18575.9,-16532.5,1560.9
-18483,-16532.5,1561.3
-18390.1,-16439.6,1561.1
-18297.2,-16439.6,1561.83
-18204.3,-16439.6,1562.49
-18111.5,-16346.7,1562.76
-18018.6,-16346.7,1563.49
-17925.7,-16253.9,1563.75
-17832.8,-16253.9,1564.02
-17739.9,-16161,1563.09
-17647.1,-16068.1,1563.95
-17554.2,-16068.1,1564.62
-17461.3,-15975.2,1565.28
-17368.4,-15882.4,1566.08
-17275.5,-15789.5,1565.95
-17182.7,-15696.6,1566.01
-17089.8,-15696.6,1566.08
